id,nama,rating,tanggal,Review
4208ac26-4cb5-4af1-9bde-5cb93308442e,Pengguna Google,5,2025-10-25 00:52:28,sangat cepett dan amann
526d8d87-c48a-47fa-9e5e-83a109ef7120,Pengguna Google,5,2025-10-25 00:49:54,baik
788d781b-35e4-433e-8a7a-0f7189d22829,Pengguna Google,5,2025-10-25 00:43:07,semoga menjadi driver yg amanah😊
db017495-bac6-482d-a81e-2657b59daef2,Pengguna Google,3,2025-10-25 00:13:00,"baiknya hapus penggunaan foto ai yg untuk menu hidangan, banyak tipu tipu"
3c1d519d-4597-41b3-8283-eaa7d378ff96,Pengguna Google,5,2025-10-24 23:58:14,Sangat Memuaskan terima kasih
bcf6578b-957a-4370-a221-14175bc2256a,Pengguna Google,5,2025-10-24 23:44:10,apik
49afd311-2642-424b-bb61-033243cdbcd5,Pengguna Google,5,2025-10-24 18:42:39,the best
dbb21a0c-167e-40e3-a5f3-920823fe8bff,Pengguna Google,3,2025-10-24 18:29:45,Kepada Pimpinan Grab yg ada di Indonesia terutama di Medan. tolong dulu ditatar/diperingatin DRIVER KALIAN. Agar tidak Body Shaming (menanyakan berat badan) & Menanyakan hal pribadi terhadap penumpang (sprti masalah pernikahan & keturunan). sekian dan terima kasih
32085052-06d3-419d-b23e-bc0651e072b3,Pengguna Google,5,2025-10-24 18:17:15,recomen
6c926e89-fda4-4b5b-a874-99d76cd7d733,Pengguna Google,5,2025-10-24 17:21:16,trimakasi
bc7b1084-7879-4584-aa50-0d726ca3f5f4,Pengguna Google,5,2025-10-24 16:54:43,manteep
bdf0c7dc-2de3-49b5-b328-b2f5a7c57ba9,Pengguna Google,2,2025-10-24 16:32:10,Bagus
f272c77f-4825-4ebc-9629-ebe917640566,Pengguna Google,5,2025-10-24 15:54:34,debes deh
285af911-9265-4773-aef4-8947b621e1de,Pengguna Google,5,2025-10-24 15:44:32,Bagus
1813de9a-2ff4-4296-b60c-f7611532e3cf,Pengguna Google,1,2025-10-24 15:23:38,"woy gua make grab udah 6 tahun. ini tiba"" minta selfie. ampe pegel pala nunduk naik gk bisa"" . ngehe banget"
5945af35-c0db-4424-8751-b488e9e61778,Pengguna Google,5,2025-10-24 15:01:55,selalu jadi yang terbaik dalam segala hal
e4c00bd7-d950-4319-be43-f688fbe522eb,Pengguna Google,5,2025-10-24 14:43:08,mantap
9ec2f431-0ef7-4a33-afc7-f43057058aa1,Pengguna Google,1,2025-10-24 14:33:24,"jelek, mendingan gojek"
408bc29d-18c8-4aa5-86de-a0fdd421c2ab,Pengguna Google,5,2025-10-24 14:30:34,aplikasi yang sangat membantu sekali
d1ef3588-5745-4468-832c-520254a2dc29,Pengguna Google,1,2025-10-24 14:18:48,beli makanan nggak nyampe2. udah 2x pesan nggak nyampe semua (nunggu sampe 4 jam kalau ditotal) emang parah2. pilihan paket hematnya dihapus aja kalau bener2 nggak diambil sama pengantar. Udah sampe 4 jam lebih nggak ada pengantar yang mau ambil pesanan.
558e5435-2333-464a-a3b0-ad72fe2d21fb,Pengguna Google,5,2025-10-24 13:50:10,"saya kurang mendukung ada layanan traktir driver, sehingga pada jam-jam tertentu kebanyakan driver tidak mengambil orderan grab bike,saya sebagai pengguna grab sangat kesulitan mencari grab bike terutama di jam-jam promo resto terima kasih."
2f4c4c74-5b46-45b5-a88a-166727620829,Pengguna Google,3,2025-10-24 13:42:01,titik lokasi ga update seperti di google maps
46411198-50f8-45f5-9a97-d9dfc5177133,Pengguna Google,5,2025-10-24 13:40:43,kurirnya baik berpriaku sopan dan santun
d0e22d70-894d-4483-b195-9fc2fe5f0695,Pengguna Google,1,2025-10-24 13:19:00,"kecewa sih, gw pesan makanan lama banget nyari drivernya bahkan gw nunggu ampe 3 jam lebih g nyampe nyampe, gimana sih ni apk, sebernya serius g sih lu pada jalanin ni apk? dongo dongo"
aabdea99-1de1-4077-8055-66454a7d8bc0,Pengguna Google,4,2025-10-24 13:07:05,👍💯
328055b7-cd18-45f2-bc55-e0f215bff038,Pengguna Google,5,2025-10-24 12:59:13,sangat memuaskan
a560320d-6d6a-418e-b513-2fb6fdfcb8e4,Pengguna Google,1,2025-10-24 12:52:17,Lama nyari pengemudi... Gak yes...
d8a28bc2-1748-466f-9c62-9c8021c18575,Pengguna Google,1,2025-10-24 12:48:56,"hujan gerimis, pengemudi ga dapat.. aplikasi ga jelas... shoope food tetap dpt pengemudi tuh"
d56205cf-9cc4-404e-a4b3-d76abf24dcaa,Pengguna Google,5,2025-10-24 12:47:39,sangat seneng sekali
36093b40-4bbd-483d-ab15-e9984c7a4e74,Pengguna Google,5,2025-10-24 12:37:58,sangat baik
89e39a80-4734-4934-bf29-525f4046eac5,Pengguna Google,1,2025-10-24 12:17:45,lagi main pubg notif muncul
64180578-3a19-4e15-9630-186fd410f29e,Pengguna Google,5,2025-10-24 12:16:21,orang nya ramah
585c6b59-5bdd-4f5c-b578-846f69dc5c2f,Pengguna Google,1,2025-10-24 12:14:05,"menyediakan layanan bantuan tapi sayang pas di kritik justru ditolak,,, harusnya kalo memang tdk percaya silakan datang ambil makanannya dan coba sendiri makanan itu layak tdk dimakan,,, bukan maksud mau digantikan tapi pelayanan grab kurang ajar"
63ec23cc-0b07-4f54-96d2-fa54ddebac91,Pengguna Google,4,2025-10-24 12:05:02,sangat cocok untuk belanja
2692b211-da6b-4602-900a-d1c6e71a2e97,Pengguna Google,5,2025-10-24 11:51:53,bagus
67d3f953-3ad6-40d9-856d-7d06de286431,Pengguna Google,1,2025-10-24 11:43:52,mengecewakan
8c5c4472-5efb-4860-8c96-1ee1f3214d06,Pengguna Google,5,2025-10-24 11:40:50,mantap
68a55ef3-9d97-4685-8ba9-a3561c5cfdb8,Pengguna Google,5,2025-10-24 11:23:46,ramah dan menyenangkan
c785c7fb-4fbc-4dcd-80e6-d7253b2e37fc,Pengguna Google,3,2025-10-24 10:50:48,kalo hujan kenapa ga ada yg mau ambil orderan??!
